// General information: # Original fixed header
//  MT Manager version: 2022.2.0
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information:
//  DeviceId: B42D51
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 1.1.0
// Device settings:
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
1	0.999999	-0.000537	-0.001136	0.000538	1.000000	0.000557	0.001136	-0.000557	0.999999
2	0.999997	-0.001076	-0.002249	0.001079	0.999999	0.001102	0.002248	-0.001105	0.999997
3	0.999992	-0.001568	-0.003564	0.001573	0.999997	0.001610	0.003562	-0.001616	0.999992
4	0.999986	-0.002042	-0.004810	0.002052	0.999996	0.002091	0.004806	-0.002101	0.999986
5	0.999979	-0.002542	-0.005950	0.002557	0.999993	0.002613	0.005944	-0.002628	0.999979
6	0.999969	-0.003042	-0.007231	0.003065	0.999990	0.003133	0.007221	-0.003155	0.999969
7	0.999958	-0.003516	-0.008494	0.003548	0.999987	0.003665	0.008481	-0.003695	0.999957
8	0.999945	-0.003996	-0.009701	0.004037	0.999983	0.004197	0.009684	-0.004235	0.999944
9	0.999931	-0.004475	-0.010853	0.004527	0.999978	0.004770	0.010831	-0.004819	0.999930
10	0.999915	-0.004983	-0.012021	0.005048	0.999973	0.005359	0.011994	-0.005419	0.999913
11	0.999897	-0.005458	-0.013247	0.005536	0.999968	0.005846	0.013215	-0.005918	0.999895
12	0.999879	-0.005903	-0.014378	0.005996	0.999961	0.006415	0.014340	-0.006501	0.999876
13	0.999859	-0.006311	-0.015542	0.006420	0.999955	0.006986	0.015498	-0.007084	0.999855
14	0.999836	-0.006660	-0.016846	0.006788	0.999949	0.007542	0.016795	-0.007655	0.999830
15	0.999813	-0.006997	-0.018006	0.007145	0.999941	0.008186	0.017948	-0.008313	0.999804
16	0.999790	-0.007310	-0.019125	0.007481	0.999933	0.008881	0.019058	-0.009022	0.999778
17	0.999765	-0.007643	-0.020293	0.007838	0.999924	0.009561	0.020218	-0.009718	0.999748
18	0.999738	-0.007985	-0.021446	0.008207	0.999913	0.010286	0.021362	-0.010460	0.999717
19	0.999711	-0.008316	-0.022561	0.008566	0.999903	0.010985	0.022468	-0.011175	0.999685
