// General information: # Original fixed header
//  MT Manager version: 2022.2.0
//  XDA version: 2022.2.0 build 7381 rev 124627 built on 2023-07-19
// Device information:
//  DeviceId: B42D48
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 1.1.0
// Device settings:
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
1	1.000000	-0.000151	-0.000790	0.000153	0.999997	0.002477	0.000789	-0.002477	0.999997
2	0.999999	-0.000275	-0.001598	0.000283	0.999988	0.004935	0.001597	-0.004936	0.999987
3	0.999997	-0.000349	-0.002404	0.000366	0.999973	0.007356	0.002402	-0.007356	0.999970
4	0.999995	-0.000398	-0.003199	0.000429	0.999952	0.009798	0.003195	-0.009799	0.999947
5	0.999992	-0.000429	-0.003997	0.000478	0.999925	0.012261	0.003991	-0.012263	0.999917
6	0.999988	-0.000486	-0.004775	0.000557	0.999891	0.014723	0.004767	-0.014725	0.999880
7	0.999984	-0.000529	-0.005626	0.000626	0.999852	0.017202	0.005616	-0.017205	0.999836
8	0.999979	-0.000578	-0.006434	0.000704	0.999807	0.019608	0.006422	-0.019612	0.999787
9	0.999973	-0.000633	-0.007280	0.000792	0.999759	0.021948	0.007265	-0.021953	0.999733
10	0.999967	-0.000685	-0.008098	0.000882	0.999705	0.024260	0.008079	-0.024267	0.999673
11	0.999960	-0.000723	-0.008954	0.000960	0.999647	0.026539	0.008932	-0.026546	0.999608
12	0.999952	-0.000713	-0.009788	0.000995	0.999583	0.028844	0.009764	-0.028852	0.999536
13	0.999944	-0.000679	-0.010600	0.001009	0.999514	0.031141	0.010574	-0.031150	0.999459
14	0.999934	-0.000601	-0.011471	0.000984	0.999440	0.033433	0.011445	-0.033442	0.999375
15	0.999924	-0.000475	-0.012280	0.000913	0.999362	0.035694	0.012255	-0.035702	0.999287
16	0.999914	-0.000366	-0.013135	0.000864	0.999281	0.037910	0.013111	-0.037918	0.999195
17	0.999902	-0.000307	-0.013980	0.000868	0.999194	0.040126	0.013956	-0.040134	0.999097
18	0.999890	-0.000269	-0.014863	0.000898	0.999103	0.042326	0.014838	-0.042335	0.998993
19	0.999876	-0.000251	-0.015725	0.000950	0.999010	0.044475	0.015698	-0.044484	0.998887
20	0.999861	-0.000258	-0.016662	0.001035	0.998914	0.046589	0.016632	-0.046599	0.998775
21	0.999845	-0.000254	-0.017599	0.001111	0.998813	0.048702	0.017566	-0.048714	0.998658
22	0.999828	-0.000231	-0.018565	0.001175	0.998707	0.050831	0.018529	-0.050844	0.998535
23	0.999809	-0.000193	-0.019518	0.001227	0.998594	0.052987	0.019480	-0.053001	0.998404
24	0.999791	-0.000130	-0.020463	0.001259	0.998476	0.055166	0.020424	-0.055180	0.998267
25	0.999771	-0.000106	-0.021381	0.001333	0.998350	0.057400	0.021339	-0.057416	0.998122
26	0.999752	-0.000090	-0.022281	0.001420	0.998216	0.059696	0.022236	-0.059713	0.997968
27	0.999732	-0.000093	-0.023163	0.001530	0.998074	0.062022	0.023113	-0.062040	0.997806
28	0.999711	-0.000170	-0.024023	0.001717	0.997923	0.064393	0.023962	-0.064415	0.997635
29	0.999689	-0.000293	-0.024926	0.001959	0.997763	0.066815	0.024851	-0.066843	0.997454
30	0.999666	-0.000435	-0.025834	0.002224	0.997595	0.069274	0.025742	-0.069309	0.997263
31	0.999644	-0.000606	-0.026683	0.002521	0.997415	0.071808	0.026570	-0.071850	0.997062
32	0.999619	-0.000797	-0.027579	0.002848	0.997224	0.074411	0.027443	-0.074462	0.996846
33	0.999594	-0.001000	-0.028492	0.003193	0.997022	0.077047	0.028331	-0.077107	0.996620
34	0.999567	-0.001235	-0.029391	0.003574	0.996815	0.079667	0.029199	-0.079737	0.996388
35	0.999539	-0.001490	-0.030334	0.003984	0.996598	0.082316	0.030108	-0.082398	0.996145
36	0.999509	-0.001764	-0.031287	0.004419	0.996373	0.084974	0.031024	-0.085070	0.995892
37	0.999478	-0.002034	-0.032255	0.004857	0.996137	0.087674	0.031952	-0.087785	0.995627
38	0.999444	-0.002288	-0.033262	0.005288	0.995892	0.090399	0.032919	-0.090525	0.995350
39	0.999410	-0.002611	-0.034260	0.005794	0.995636	0.093147	0.033867	-0.093290	0.995063
40	0.999374	-0.002939	-0.035247	0.006311	0.995367	0.095936	0.034802	-0.096099	0.994763
41	0.999338	-0.003247	-0.036240	0.006815	0.995088	0.098762	0.035742	-0.098943	0.994451
42	0.999302	-0.003521	-0.037199	0.007289	0.994796	0.101629	0.036648	-0.101829	0.994127
43	0.999265	-0.003756	-0.038148	0.007729	0.994492	0.104527	0.037545	-0.104745	0.993790
44	0.999229	-0.003939	-0.039062	0.008121	0.994172	0.107498	0.038411	-0.107733	0.993438
45	0.999193	-0.004094	-0.039957	0.008490	0.993843	0.110474	0.039259	-0.110724	0.993075
46	0.999157	-0.004168	-0.040833	0.008781	0.993503	0.113463	0.040095	-0.113726	0.992703
47	0.999121	-0.004187	-0.041703	0.009022	0.993156	0.116445	0.040930	-0.116719	0.992321
48	0.999084	-0.004222	-0.042573	0.009286	0.992794	0.119470	0.041762	-0.119756	0.991925
49	0.999046	-0.004172	-0.043481	0.009476	0.992424	0.122496	0.042640	-0.122791	0.991516
50	0.999006	-0.004150	-0.044382	0.009697	0.992047	0.125496	0.043509	-0.125802	0.991101
51	0.998964	-0.004136	-0.045324	0.009935	0.991662	0.128484	0.044415	-0.128801	0.990675
52	0.998922	-0.004105	-0.046249	0.010162	0.991266	0.131488	0.045305	-0.131817	0.990238
53	0.998879	-0.004037	-0.047173	0.010357	0.990858	0.134514	0.046199	-0.134852	0.989788
54	0.998833	-0.003987	-0.048135	0.010582	0.990439	0.137546	0.047126	-0.137895	0.989325
55	0.998788	-0.003940	-0.049055	0.010809	0.990014	0.140554	0.048011	-0.140914	0.988857
56	0.998741	-0.003902	-0.050008	0.011055	0.989580	0.143561	0.048927	-0.143933	0.988377
57	0.998696	-0.003845	-0.050902	0.011275	0.989145	0.146506	0.049786	-0.146889	0.987899
58	0.998649	-0.003789	-0.051829	0.011507	0.988704	0.149439	0.050677	-0.149834	0.987412
59	0.998599	-0.003746	-0.052774	0.011758	0.988258	0.152343	0.051584	-0.152751	0.986918
60	0.998550	-0.003734	-0.053697	0.012040	0.987806	0.155222	0.052463	-0.155643	0.986419
61	0.998498	-0.003669	-0.054663	0.012280	0.987354	0.158053	0.053392	-0.158487	0.985916
62	0.998445	-0.003619	-0.055635	0.012540	0.986898	0.160860	0.054324	-0.161307	0.985408
63	0.998391	-0.003557	-0.056596	0.012793	0.986430	0.163682	0.055246	-0.164142	0.984888
64	0.998336	-0.003519	-0.057566	0.013079	0.985944	0.166561	0.056171	-0.167036	0.984349
65	0.998280	-0.003449	-0.058524	0.013341	0.985441	0.169495	0.057087	-0.169984	0.983792
66	0.998223	-0.003389	-0.059489	0.013621	0.984926	0.172442	0.058007	-0.172946	0.983222
67	0.998168	-0.003332	-0.060416	0.013903	0.984396	0.175417	0.058889	-0.175936	0.982639
68	0.998112	-0.003300	-0.061328	0.014212	0.983862	0.178362	0.059749	-0.178897	0.982052
69	0.998054	-0.003302	-0.062272	0.014565	0.983322	0.181292	0.060635	-0.181846	0.981456
70	0.997996	-0.003346	-0.063195	0.014960	0.982770	0.184224	0.061489	-0.184800	0.980851
71	0.997937	-0.003390	-0.064118	0.015361	0.982211	0.187152	0.062343	-0.187750	0.980236
72	0.997875	-0.003398	-0.065076	0.015737	0.981648	0.190053	0.063236	-0.190673	0.979615
73	0.997813	-0.003403	-0.066017	0.016113	0.981073	0.192966	0.064111	-0.193608	0.978982
74	0.997749	-0.003368	-0.066969	0.016456	0.980495	0.195855	0.065003	-0.196517	0.978343
75	0.997685	-0.003363	-0.067923	0.016833	0.979909	0.198735	0.065890	-0.199419	0.977697
76	0.997619	-0.003401	-0.068878	0.017254	0.979327	0.201545	0.066769	-0.202254	0.977054
77	0.997549	-0.003403	-0.069890	0.017655	0.978742	0.204334	0.067708	-0.205068	0.976403
78	0.997478	-0.003421	-0.070887	0.018071	0.978160	0.207068	0.068631	-0.207827	0.975755
79	0.997409	-0.003419	-0.071854	0.018464	0.977572	0.209790	0.069526	-0.210573	0.975103
80	0.997335	-0.003432	-0.072877	0.018891	0.976973	0.212523	0.070469	-0.213333	0.974435
81	0.997259	-0.003472	-0.073908	0.019348	0.976379	0.215198	0.071415	-0.216038	0.973770
82	0.997185	-0.003517	-0.074892	0.019803	0.975782	0.217845	0.072313	-0.218715	0.973106
